,frame,ball_x,ball_y,ball_z,action,reward,score_left,score_right,left_0_x,left_0_y,left_1_x,left_1_y,left_2_x,left_2_y,left_3_x,left_3_y,left_4_x,left_4_y,left_5_x,left_5_y,left_6_x,left_6_y,left_7_x,left_7_y,left_8_x,left_8_y,left_9_x,left_9_y,left_10_x,left_10_y,right_0_x,right_0_y,right_1_x,right_1_y,right_2_x,right_2_y,right_3_x,right_3_y,right_4_x,right_4_y,right_5_x,right_5_y,right_6_x,right_6_y,right_7_x,right_7_y,right_8_x,right_8_y,right_9_x,right_9_y,right_10_x,right_10_y,centroid_x_left_team,centroid_y_left_team,centroid_x_right_team,centroid_y_right_team,distance_ball_to_player_0_left_team,distance_ball_to_player_0_right_team,distance_ball_to_player_1_left_team,distance_ball_to_player_1_right_team,distance_ball_to_player_2_left_team,distance_ball_to_player_2_right_team,distance_ball_to_player_3_left_team,distance_ball_to_player_3_right_team,distance_ball_to_player_4_left_team,distance_ball_to_player_4_right_team,distance_ball_to_player_5_left_team,distance_ball_to_player_5_right_team,distance_ball_to_player_6_left_team,distance_ball_to_player_6_right_team,distance_ball_to_player_7_left_team,distance_ball_to_player_7_right_team,distance_ball_to_player_8_left_team,distance_ball_to_player_8_right_team,distance_ball_to_player_9_left_team,distance_ball_to_player_9_right_team,distance_ball_to_player_10_left_team,distance_ball_to_player_10_right_team,Time,left_0_velocity,right_0_velocity,left_1_velocity,right_1_velocity,left_2_velocity,right_2_velocity,left_3_velocity,right_3_velocity,left_4_velocity,right_4_velocity,left_5_velocity,right_5_velocity,left_6_velocity,right_6_velocity,left_7_velocity,right_7_velocity,left_8_velocity,right_8_velocity,left_9_velocity,right_9_velocity,left_10_velocity,right_10_velocity,ball_velocity,left_0_zone_id,right_0_zone_id,left_1_zone_id,right_1_zone_id,left_2_zone_id,right_2_zone_id,left_3_zone_id,right_3_zone_id,left_4_zone_id,right_4_zone_id,left_5_zone_id,right_5_zone_id,left_6_zone_id,right_6_zone_id,left_7_zone_id,right_7_zone_id,left_8_zone_id,right_8_zone_id,left_9_zone_id,right_9_zone_id,left_10_zone_id,right_10_zone_id,global_density,right_team_density,left_team_density,global_compactness,right_team_compactness,left_team_compactness,global_spread,right_team_spread,left_team_spread,match_id
count,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0,300100.0
mean,1500.0,25.358059128409813,38.51259754941912,0.4061010883531668,11.260426524491836,-0.001392869043652116,0.0,2.0175374875041654,3.276459030544349,34.73573067399581,28.094724772825828,20.472904191318147,23.216731447949556,33.90287452177721,23.545555540435412,40.28798865528252,28.300494421063135,51.41369955629168,38.39615295565242,27.870099918903716,33.546082817245065,36.5857903753746,37.75786236282019,44.689947903369024,46.96739711847221,15.125112531523616,56.797924839971685,36.28234631058888,46.53627447279367,52.498481184255354,97.9465133401537,34.034796361728255,52.24196036438754,52.52665859236251,61.61851768890943,40.072651089375,60.35506461463378,30.668424666880306,52.838614536624156,17.102759846350832,35.716160056192834,44.1482127523911,39.34930114911932,36.204738932444926,35.66665466177665,27.554165202561283,32.58800837672841,53.645140260464196,27.647828125922608,36.22140432006957,31.987325703371255,16.503187501590613,33.31233270725214,35.80590689297096,47.99599532889269,35.33473995692896,25.76560288570897,74.17919510368823,24.051009045609206,33.35573227532383,15.948125106176489,38.5879372655542,14.220445081067757,38.3810550045004,18.866501750397134,37.69582566988898,21.59634522465454,18.311413128465723,15.760046127420617,19.794619990137647,18.55092802140738,21.108974927860753,34.76574317628555,22.282225262882964,34.172516958447154,14.668791539482745,28.70421614283815,28.229045166081654,150.0,2.417471713514379,1.5747404044617397,4.748434682357768,5.617689993066539,5.0687883243689305,4.553050573431512,5.052340234825161,4.779078244224114,4.683357002222786,5.381185829043055,5.3916271111600516,6.931453796345118,5.483915131895315,7.0726673191581195,5.400431991197277,6.844416370056686,4.33660528078334,6.125229598281224,4.313660164620711,6.278773508839575,4.876397820842661,6.098233659215522,8.444986311384033,13.760396534488503,14.0,13.966947684105298,14.0,13.97610129956681,14.0,13.981519493502166,14.0,13.996151282905698,13.999966677774076,13.997587470843053,13.998747084305231,13.997630789736755,13.99970343218927,13.998373875374876,13.998630456514496,13.955034988337221,13.986864378540487,13.99687104298567,13.995818060646451,13.999396867710763,13.946631122959014,0.005526363982544445,0.0040145391382115595,0.005303631064657537,0.599323422891934,0.5964163636576253,0.5926817150963148,29.118528087055573,30.583804826331566,25.950414192467157,49.5
std,866.315474201742,17.43599008979537,14.145180124572825,0.9633230226487024,4.722441734691581,0.03729522213876329,0.0,1.8944756402463705,3.605704288057113,2.943859078069227,10.443306076038326,6.1990712569032125,10.165199748277297,9.026331718008798,10.014859840006626,8.625959221241684,10.659515299526708,6.88375868866758,12.816575703491612,6.549109423559802,12.917338569168534,8.2944119459562,12.629143689471988,7.097735019734005,11.356483744251403,4.349916596851097,11.075103823407611,6.683821429414064,12.124938825838862,8.130876701053495,3.4463427005008853,0.7555957765362864,13.981941337292199,3.550917615676348,10.503401348566973,4.711885667591738,10.86772014269034,5.3309054084699525,13.57970114232154,3.567256056222327,17.092845914515653,7.413445352955533,17.48719880197642,7.806861378798728,17.052842213022863,6.8716463901408975,15.75201597035146,4.458032591993912,14.256684926850856,8.884145574480181,15.895048421618434,4.864973936405279,9.090008662642456,4.914541898681101,12.946141243744108,4.405690007771875,16.243080424742928,17.426534049061814,11.41826876093023,16.47037240077139,8.888527496076629,15.418411164946015,8.503523291360645,15.305569496381448,10.702244892732972,15.59530017904271,10.519723626053192,15.631999982379266,8.864135550178249,16.366780272852406,10.976392678568871,15.78261178085085,12.356913013965455,15.825736753369073,15.945714195692693,12.788053867656837,14.28212508559631,15.72845054297863,86.6315474201742,5.013919276453499,7.577852618262393,14.263818790687454,26.766353248842872,14.973152358674149,20.437625055533008,13.353629551992238,21.18152711895251,13.000372526595209,26.09955666455651,17.981632581002742,33.84931019451032,17.270010864510617,35.205478543215605,17.63799469829138,34.25942116670651,16.46713782967295,30.45122087992506,19.18307543408647,27.918796507172274,19.554875635294746,31.126337277527032,22.37348491375065,0.5402018845544825,0.0,0.6706032928385708,0.0,0.4175776805165952,0.0,0.3364040403582397,0.0,0.13886019106332012,0.012907771861798562,0.12544182581812674,0.05308012720432726,0.11676137778660536,0.02213030502690729,0.0961299744262354,0.07822683455397873,0.7286395576408854,0.2617341998151475,0.28274928317508363,0.13076771704979887,0.05826819343922686,0.9947081466103767,0.0005200330394637458,0.0008068846297146899,0.0028706165565118907,0.04114185739114342,0.034263943665869157,0.050167040188368345,2.6059492971278866,3.8668490553455177,3.3893167853553856,28.866118141927696
min,0.0,-1.3624602556228638,-1.4398321537744398,-0.2255654484033584,0.0,-1.0,0.0,0.0,-1.8701174855232239,6.55264449687231,-3.5013923048973083,-3.854861929303125,-4.193762540817261,-2.826523712703161,-4.280955791473389,1.8127112842741455,-2.766314148902893,13.013537934848245,-3.023957312107086,-0.5314758164542075,-3.1381747126579285,5.7171019031888,-2.2125068306922797,-1.1030278773534834,-1.9848230481147766,-2.0796020144507965,-3.2936105132102966,-3.1722786199478845,-2.12548255920409,12.452548100834804,76.97790764272213,15.763718170779093,3.0753113329410553,20.383809433096935,12.98038512468338,14.567056224459698,6.620281487703323,7.31817192690713,7.732561826705933,0.1756698574338628,-0.8868339657783508,7.954470100856962,-0.3398233652114868,6.869680183274404,-1.0018837451934814,-0.6609173786072517,-2.4362415075302124,22.255689115751363,-2.8282293677330017,-1.768250340507141,-2.4362415075302124,-2.0796020144507965,2.9403410716490326,18.163409134461766,20.096933394670486,18.854727506121517,0.009731601148563895,0.059276859518586134,0.008521222073936631,0.036090644867034886,0.015058261696138575,0.01421342695294097,0.01702423057268803,0.01406726967486685,0.016141046961718284,0.019625185295853755,0.021860482390238172,0.008003289617176217,0.009103974038745154,0.007968437365469762,0.005409472835493557,0.014589094546809268,0.05927885487220276,0.011615187835107383,0.009429050614761077,0.009163919391311169,0.03347683859922864,0.002155864150760674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,-21.0,14.0,-11.0,14.0,1.0,14.0,5.0,9.0,4.0,10.0,4.0,11.0,-1.0,4.0,-6.0,6.0,-16.0,-6.0,7.0,-14.0,0.003372456026914303,0.002128037695838781,0.002128037695838781,0.49708637731385474,0.48022316117841596,0.40136046458348096,21.827788885902446,8.663768333055224,8.593308371944095,0.0
25%,750.0,11.86150286346674,29.123714647654978,0.1105308532714843,7.0,0.0,0.0,0.0,0.6681843101978302,33.84398504159237,21.533473804593086,16.181211419048765,16.690930612385273,27.987571767398286,17.09197998046875,35.76985545882157,21.440311521291733,47.66576041494097,30.359687972813845,23.856675905840742,25.295942053198814,32.94313157225649,29.65631179511547,40.66196839440436,41.499966820701964,12.730834914105282,51.276184706948705,32.989062191962844,39.67023731209338,50.54113096495469,95.86047068238258,33.99837515218436,40.44349908828736,50.535183379337894,54.22977153444663,37.57951317869481,52.51123998186813,27.89952204766728,42.31602472253144,15.21052696591332,21.116478592157364,40.4564051550059,24.66588445007801,33.12471696734429,20.861095525324345,23.856675905840742,18.899508677423,51.34723991581372,16.3652615994215,32.54925100336827,17.931434847414494,13.455443365233284,27.686893765560605,32.88146810034024,37.043289416469634,33.65689032725603,13.99597909908054,64.53009504109326,14.7833750699966,22.878995627943823,9.017897862259638,28.268595502520164,7.796475266036088,28.039389593866936,10.31751553075968,26.19990675643706,13.007275873032185,7.719590225841656,9.6984963235937,9.223505709706112,10.225777899428369,9.397053173511296,25.41414125179127,9.40304927287584,24.295343259277733,3.515369585156853,18.87473409543756,15.873267931636114,75.0,0.0,0.0,2.0275349142042516,1.4892112595579134,2.3083449377976066,0.20790344856964804,2.331258758046948,0.42574804288829876,1.669813347990537,1.7577597541074539,2.2263905048504786,2.636718578500955,2.3861006164680565,2.7078533508435036,2.2742985056001004,2.558596873607724,0.7793771753483578,2.124578361108655,0.21535277359271335,2.295042992356927,0.8380679442330161,2.0301231821439556,3.109568514787131,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.005197850255900783,0.0034887099926649615,0.004312531795127825,0.5705916997893563,0.574584530307875,0.5548104997682887,27.293078614164198,27.13453865470385,23.824892270757353,24.75
50%,1500.0,22.713012546300888,38.07834694321666,0.1183824054896831,13.0,0.0,0.0,2.0,1.4476132392883359,34.040810502832755,28.202842958271503,19.452373254866835,22.356117591261864,32.25670526673397,23.773979544639587,40.100477952332724,28.98119229823351,51.09030313151223,39.10907372832298,27.378984662038942,33.85546524077654,35.89402744262701,37.94808905571699,44.143325300443735,47.92105277068913,15.12702916065852,58.61365182325244,35.790714228437054,47.81465574167669,54.33268724169049,95.95699846744537,34.0,51.396926287561655,52.574362354619154,62.407666370272636,40.00150864393938,58.865483393892646,29.62012943483534,51.5483339689672,16.734243997505736,35.38434572517872,44.143325300443735,38.70277974754572,34.55509805790193,35.35144094377756,26.088522939454947,33.003760166466236,53.9316127314454,25.389734879136086,34.76959766004056,31.571836955845356,16.079230319885987,33.91125664940442,35.083025973274076,47.25092854377263,34.343976905014884,23.948500176795406,75.49767133603997,25.144092171243628,30.06373409799629,15.203015311683142,37.87476637055905,12.981941650864918,36.68717548815462,17.356674149595463,36.91675045320666,21.534824319369726,12.97685428976991,14.284173813769883,13.571987152852506,16.344441266212215,16.37278650846723,37.12538730095529,19.58868166973369,35.841545257029324,11.910669299239489,28.16450963802515,28.4478765076759,150.0,1.2846131893876622,0.0,3.386154414985322,3.3784086954947368,4.089582793939559,3.361668936260031,4.460165114763601,3.3761057857477104,3.6279168862641558,3.3778779654737043,4.1472160120138755,4.686003721151755,4.615233350347987,4.802504578768218,4.33717083509595,4.588394730003122,3.372968252078219,3.774600774619562,3.3357981260955905,4.244143488678722,3.377525767066422,3.583060179359716,5.800139427178665,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.005507981396162898,0.0039050322168302015,0.004790082030884706,0.596207031975367,0.5945591859478414,0.5940314262088011,28.998237028338856,30.613870920643947,26.158179169525383,49.5
75%,2250.0,34.730649814009666,50.254081701238945,0.26241153478622437,13.0,0.0,0.0,3.0,5.436971224844456,35.64047963917255,32.97906417399645,23.681426293793184,27.853699922561646,39.5354868727071,29.211795665323734,45.93025873175689,33.31494743004441,54.420858796153745,45.515767112374306,32.33379170768673,40.35357479006052,41.93978297816855,45.515767112374306,49.018190177423605,51.897490976261906,17.713762675012863,62.99209685996175,40.4019563386128,52.5558849657682,57.44389877149037,99.66163046658039,34.000662688766866,64.142433302477,54.299186309178666,68.66085039451718,42.957704325162226,68.99557191878557,34.200179497533966,64.66721140779555,19.422359389208612,51.1138928309083,48.50527681126481,55.15019172336906,41.38356882440192,51.19173396960833,32.69165043568327,46.313180099241436,55.71714838062014,38.496875893324614,42.15364741498515,46.41817874740809,19.02552135004884,37.44099709882655,39.581596636795936,59.216880787544966,38.50090233947131,36.71044954093276,86.45705699420333,32.99579703263015,40.9954192954131,23.112822695518226,45.32180306921984,19.489217860075605,45.224049894450836,27.379308131045374,46.631895300750685,28.759933407183958,23.134232697736742,19.090111473769575,24.22087300429026,25.082785442402248,30.144960321456367,44.25936068507502,31.84866470588549,43.20786416060196,21.99997232522427,40.08664214672417,41.05916893138891,225.0,4.258507876775044,0.0,5.569810275586285,4.955272052854101,5.968542988175242,4.594385262158925,6.128945648294698,4.825765154142372,5.871827319162454,4.825499315172802,6.182697664827198,6.630005326222788,6.408661608736618,6.702794328416144,6.223199922899391,6.43160621918672,4.8249237146817165,5.575818399172562,4.315313027519887,6.3182043171290605,5.132215854401004,5.104452525723861,10.872145609048609,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.005823993642494245,0.0045465413359689795,0.005534279053232623,0.6261415233574923,0.6225595020707654,0.6284390169529196,30.806655451088503,33.73366108646105,28.186025660981528,74.25
max,3000.0,105.98588705062866,69.26284368265243,22.813798904418945,32.0,0.0,0.0,11.0,34.10039037466049,61.6868150347755,88.28927144408226,65.37844119753156,73.48087750375271,71.20138385182334,70.70788711309433,71.73659779911948,79.81625854969025,72.16548983256021,100.96337869763374,71.21836833726792,105.34481763839722,71.08036698046185,100.27691960334778,71.79978056748708,107.43624150753021,55.24526074954441,108.5212630033493,72.04620518570853,100.16370981931686,72.0205233891805,105.73843896389008,52.62129285222008,102.38866478204727,69.51510913031441,106.56752586364746,64.6991220939727,102.8477592766285,57.73703434353783,102.62162446975708,33.066321188140485,102.48860031366348,68.33309992154439,102.86624997854233,66.37095276514688,103.36667865514755,66.5749764839808,101.01553067564964,70.0796020144508,90.52484080195427,67.67595715182168,101.56900316476822,59.48654008479345,82.94032008810477,49.83706178254895,101.48756288669325,49.16145347391791,110.7270815146268,110.7270815146268,71.12332154488128,78.30877336199441,71.76085723944256,77.07848106825485,72.36849674250223,76.84512027947385,70.78352989313743,77.50246072470712,76.33516137471621,64.74399355594173,70.47794766225435,61.791485625616716,65.14986536824749,60.396193680866354,72.20521257470959,65.45834899932389,83.29351010585285,73.39715344886619,72.84322765287318,76.603500396456,300.0,292.47872597167554,151.70328391983193,603.9477334968022,658.8036261411659,607.0276979392776,565.6699055338752,545.4231009665953,687.3765719495319,423.5799335954327,601.5860178668182,489.85882404919465,635.7234167137235,609.4193232615735,660.9779749110842,492.3403954774824,635.7731612679557,575.2626330588266,570.683038066727,623.0415171995319,550.9580060561774,562.2315583002724,582.7524386722318,583.5887607727062,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.009096178952667134,0.04031434150264793,0.041237177877941615,0.7522487579628283,0.7358069990875686,0.8222150578905479,37.81095672062677,41.74543665653538,40.62441607026887,99.0
