frame,ball_x,ball_y,ball_z,action,action_name,reward,strategy,base_strategy,score_left,score_right,left_0_x,left_0_y,left_1_x,left_1_y,left_2_x,left_2_y,left_3_x,left_3_y,left_4_x,left_4_y,left_5_x,left_5_y,left_6_x,left_6_y,left_7_x,left_7_y,left_8_x,left_8_y,left_9_x,left_9_y,left_10_x,left_10_y,right_0_x,right_0_y,right_1_x,right_1_y,right_2_x,right_2_y,right_3_x,right_3_y,right_4_x,right_4_y,right_5_x,right_5_y,right_6_x,right_6_y,right_7_x,right_7_y,right_8_x,right_8_y,right_9_x,right_9_y,right_10_x,right_10_y
0,0.0,-0.0,0.11059734225273132,22,team_pressure,0.0,random,random,0,0,-1.0100501775741577,7.568395909984815e-11,-0.4266543984413147,-0.19894461333751678,-0.5055146813392639,-0.06459399312734604,-0.5055146813392639,0.06459297984838486,-0.4266543984413147,0.19894461333751678,-0.18440425395965576,-0.10633842647075653,-0.2680808901786804,-7.312564321182435e-06,-0.18624374270439148,0.10739918798208237,-0.010110294446349144,-0.21961550414562225,-0.048089466989040375,1.7515888739438878e-10,-0.01028080377727747,0.21952782571315765,1.0110293626785278,0.0,0.4266543984413147,0.19894461333751678,0.505125880241394,0.0645492672920227,0.5055146813392639,-0.06459297984838486,0.4246346950531006,-0.19916649162769318,0.18624374270439148,0.10739918798208237,0.270525187253952,0.0,0.18624374270439148,-0.10739918798208237,0.00868249125778675,0.21886229515075684,-5.682400106010732e-10,-0.018982863053679466,-0.0009692439343780279,0.02090786211192608
1,0.0,-0.0,0.10930104553699493,23,switch,0.0,random,random,0,0,-1.0058503150939941,3.0989619204113694e-10,-0.4266543984413147,-0.19894461333751678,-0.5053200125694275,-0.0645703598856926,-0.5055146813392639,0.06459297984838486,-0.4238327741622925,0.19916479289531708,-0.18068744242191315,-0.10419510304927826,-0.26324036717414856,-4.579123196890578e-05,-0.18624374270439148,0.10739918798208237,-0.008791647851467133,-0.2196551263332367,-0.04308466613292694,3.847641649734612e-10,-0.009939302690327168,0.21935853362083435,1.010373830795288,-5.5304918630816324e-12,0.425688236951828,0.19904832541942596,0.5013724565505981,0.06426752358675003,0.5055146813392639,-0.06459297984838486,0.42008718848228455,-0.1996835619211197,0.18558873236179352,0.107416532933712,0.27045902609825134,-1.9292633268719328e-08,0.18492482602596283,-0.10742191225290298,0.005183838307857513,0.21740199625492096,-1.1111886966119755e-09,-0.015645280480384827,-0.004375686403363943,0.02264988049864769
2,0.0,-0.0,0.11075475811958313,9,long_pass,0.0,random,random,0,0,-0.9999558925628662,4.347743831623063e-10,-0.42534732818603516,-0.1990615278482437,-0.501839280128479,-0.06423597782850266,-0.5026972889900208,0.06429826468229294,-0.418906569480896,0.1993442177772522,-0.17576363682746887,-0.10135573148727417,-0.25679782032966614,-0.00013298870180733502,-0.18339495360851288,0.10743865370750427,-0.0044513363391160965,-0.219877690076828,-0.036889735609292984,4.3109171787847345e-10,-0.008329151198267937,0.21979662775993347,1.0063482522964478,-3.082958541233971e-11,0.4215899705886841,0.1994873583316803,0.4958990812301636,0.06421978026628494,0.5030954480171204,-0.06436806172132492,0.4140069782733917,-0.2004016935825348,0.1815609335899353,0.10738449543714523,0.2672463059425354,-6.0158381529618055e-06,0.1806039810180664,-0.10731204599142075,0.003069105325266719,0.21532626450061798,-1.5395537067419696e-09,-0.011476941406726837,-0.009450423531234264,0.024696754291653633
3,0.0012868251651525497,-0.0021858199033886194,0.11106950044631958,9,long_pass,0.0,random,random,0,0,-0.9925893545150757,-1.331069282572983e-10,-0.4210452735424042,-0.19930125772953033,-0.49654147028923035,-0.06395760923624039,-0.49771225452423096,0.06396050751209259,-0.4124220311641693,0.19933167099952698,-0.16976553201675415,-0.09789688140153885,-0.24889512360095978,-0.00023275986313819885,-0.1784137487411499,0.10732068121433258,0.0015203460352495313,-0.2203572392463684,-0.03449876606464386,3.1353913909626385e-10,-0.005125447176396847,0.22059282660484314,1.0006179809570312,-4.5923053554330906e-11,0.41589292883872986,0.20009595155715942,0.4888971745967865,0.06450743973255157,0.4982593059539795,-0.06419316679239273,0.4064645767211914,-0.20129965245723724,0.17584232985973358,0.1070365384221077,0.2620754837989807,-3.0234075893531553e-05,0.17472052574157715,-0.10691889375448227,-0.0001547158317407593,0.2126207947731018,-1.968732288304409e-09,-0.009011621586978436,-0.01634976826608181,0.026716062799096107
4,0.0027614273130893707,-0.004693881142884493,0.11108215153217316,9,long_pass,0.0,random,random,0,0,-0.9838409423828125,-5.341020403726304e-10,-0.4151163697242737,-0.19936548173427582,-0.48967477679252625,-0.06384611874818802,-0.4911121428012848,0.06376198679208755,-0.40447670221328735,0.19927845895290375,-0.16289061307907104,-0.0939323902130127,-0.2398018091917038,-0.0003231554292142391,-0.171863853931427,0.1069352850317955,0.009062545374035835,-0.22103005647659302,-0.034281082451343536,3.037421980600641e-10,-0.0025243659038096666,0.21964851021766663,0.9933916926383972,-2.1141007891856134e-05,0.40866905450820923,0.20086674392223358,0.48052191734313965,0.06490034610033035,0.4918134808540344,-0.06437951326370239,0.3976726830005646,-0.20234911143779755,0.16853740811347961,0.10638642311096191,0.2553306818008423,-0.0001548270956845954,0.16776490211486816,-0.10806944966316223,-0.006067363545298576,0.2104119062423706,-2.2791546427924914e-09,-0.007673854008316994,-0.024982880800962448,0.028218362480401993
5,0.004117508884519339,-0.007000357378274202,0.11039184033870697,6,bottom_right,0.0,random,random,0,0,-0.9744999408721924,-7.190212869545576e-10,-0.4076480567455292,-0.19933807849884033,-0.4814084470272064,-0.06374254822731018,-0.4830625057220459,0.06358549743890762,-0.3953835964202881,0.19919690489768982,-0.15562395751476288,-0.0899391695857048,-0.23036009073257446,-0.0003612226864788681,-0.1638324111700058,0.10643332451581955,0.01794419437646866,-0.22183434665203094,-0.032539915293455124,0.0011382594238966703,-0.001347183482721448,0.2168537676334381,0.9847735166549683,-0.00012054196849931031,0.40007293224334717,0.20178356766700745,0.47126007080078125,0.06536974012851715,0.483915239572525,-0.06473897397518158,0.3879980742931366,-0.20350615680217743,0.15982060134410858,0.10553521662950516,0.24722827970981598,-0.0008377216290682554,0.15971225500106812,-0.10992375016212463,-0.012869581580162048,0.20800314843654633,0.0001938498462550342,-0.007253285031765699,-0.03421159088611603,0.02914455160498619
6,0.005357664078474045,-0.009109660983085632,0.11113569885492325,6,bottom_right,0.0,random,random,0,0,-0.9644829034805298,-8.90305607015307e-10,-0.39882493019104004,-0.19928382337093353,-0.472156822681427,-0.06363926082849503,-0.473894864320755,0.0634123682975769,-0.3858940005302429,0.19910168647766113,-0.1472860425710678,-0.08579687029123306,-0.22007329761981964,-0.0003108420060016215,-0.1547182947397232,0.1058507189154625,0.027191350236535072,-0.22268341481685638,-0.029154300689697266,0.003285581711679697,-0.0014575214590877295,0.21317946910858154,0.9754503965377808,-0.00030030778725631535,0.3906307816505432,0.20278900861740112,0.4615820646286011,0.06585558503866196,0.4748386740684509,-0.06519322842359543,0.37742331624031067,-0.20477239787578583,0.1506662219762802,0.10456708073616028,0.2382757067680359,-0.002264199312776327,0.15074732899665833,-0.11158134043216705,-0.02099347487092018,0.20550499856472015,0.0005195147241465747,-0.0072852070443332195,-0.04438807815313339,0.029946690425276756
7,0.008865812793374062,-0.01345626451075077,0.12173473834991455,15,release_sprint,0.0,random,random,0,0,-0.9535595774650574,-9.567091563411623e-10,-0.3895266056060791,-0.19921423494815826,-0.46253207325935364,-0.06353996694087982,-0.46440309286117554,0.06324319541454315,-0.37548011541366577,0.19899068772792816,-0.137870192527771,-0.08160433173179626,-0.20893417298793793,-0.0001646265445742756,-0.14519092440605164,0.1052296906709671,0.03733786195516586,-0.22362791001796722,-0.0247642919421196,0.005840881261974573,-0.004955068696290255,0.20919914543628693,0.9655395746231079,-0.0005088602774776518,0.3802364468574524,0.20389145612716675,0.45098280906677246,0.06636998057365417,0.46542564034461975,-0.06567925214767456,0.3660905957221985,-0.2061312049627304,0.14080335199832916,0.10345057398080826,0.22910349071025848,-0.004011070355772972,0.14095944166183472,-0.11335497349500656,-0.03020188957452774,0.20315931737422943,0.001994458958506584,-0.00906865019351244,-0.05557280778884888,0.030666032806038857
8,0.012666188180446625,-0.018048115074634552,0.11074427515268326,29,release_sliding,0.0,random,random,0,0,-0.9418567419052124,-1.1243561637286348e-09,-0.37946468591690063,-0.19914360344409943,-0.45199012756347656,-0.06343775242567062,-0.45402276515960693,0.06305329501628876,-0.3645889163017273,0.19886700809001923,-0.12717129290103912,-0.07780492305755615,-0.19704866409301758,6.0345602832967415e-05,-0.13469606637954712,0.10453331470489502,0.04845798760652542,-0.22467359900474548,-0.019133377820253372,0.00937161035835743,-0.011107970960438251,0.205301433801651,0.9547057151794434,-0.0007434324943460524,0.3690250515937805,0.2050754278898239,0.43957746028900146,0.06689813733100891,0.4551635682582855,-0.06619156897068024,0.35409584641456604,-0.2075730711221695,0.12997683882713318,0.10215914249420166,0.21907734870910645,-0.005970978178083897,0.1302860528230667,-0.11526981741189957,-0.04034742712974548,0.20108218491077423,0.004755777306854725,-0.012121458537876606,-0.0676252618432045,0.03132440149784088
9,0.01624828390777111,-0.02237715944647789,0.11179427802562714,24,release_long_pass,0.0,random,random,0,0,-0.9295226335525513,-1.2237258983915922e-09,-0.3685941696166992,-0.19907280802726746,-0.4406339228153229,-0.06333619356155396,-0.4427957236766815,0.0628417506814003,-0.35328587889671326,0.1987265646457672,-0.11510760337114334,-0.0750148668885231,-0.18457768857479095,0.00040018814615905285,-0.12334603071212769,0.10376714915037155,0.06041690707206726,-0.22581911087036133,-0.012692689895629883,0.013516432605683804,-0.018580634146928787,0.20173761248588562,0.9430872201919556,-0.001077511114999652,0.357096403837204,0.20632778108119965,0.4274837374687195,0.0673867017030716,0.4440431594848633,-0.06672949343919754,0.34158554673194885,-0.20908232033252716,0.11831942200660706,0.10070589929819107,0.20827284455299377,-0.00812701229006052,0.11886016279459,-0.11736100167036057,-0.051521580666303635,0.1993345022201538,0.008255189284682274,-0.015882624313235283,-0.08036711066961288,0.03183981031179428
