frame,ball_x,ball_y,ball_z,action,action_name,reward,strategy,base_strategy,score_left,score_right,left_0_x,left_0_y,left_1_x,left_1_y,left_2_x,left_2_y,left_3_x,left_3_y,left_4_x,left_4_y,left_5_x,left_5_y,left_6_x,left_6_y,left_7_x,left_7_y,left_8_x,left_8_y,left_9_x,left_9_y,left_10_x,left_10_y,right_0_x,right_0_y,right_1_x,right_1_y,right_2_x,right_2_y,right_3_x,right_3_y,right_4_x,right_4_y,right_5_x,right_5_y,right_6_x,right_6_y,right_7_x,right_7_y,right_8_x,right_8_y,right_9_x,right_9_y,right_10_x,right_10_y
10,-0.05612066015601158,0.0006361224222928286,0.35694900155067444,16,sliding,0.0,random,random,0,0,-0.9154050350189209,7.729626668151468e-05,-0.35218533873558044,-0.2069549709558487,-0.41230347752571106,-0.06816387176513672,-0.43215811252593994,0.06719233095645905,-0.3377513289451599,0.2095497101545334,-0.0943097472190857,-0.09816522151231766,-0.18462161719799042,0.007477693725377321,-0.10559821873903275,0.11353395879268646,0.056581322103738785,-0.19852787256240845,-0.02924310602247715,0.00435096537694335,0.05594240501523018,-0.020294824615120888,0.9154049158096313,2.607231763818163e-09,0.32963886857032776,0.19895592331886292,0.42981740832328796,0.06303322315216064,0.40922459959983826,-0.06239214166998863,0.3521144390106201,-0.19880449771881104,0.11109425872564316,0.08617003262042999,0.1933554857969284,-0.0006341395783238113,0.11121252179145813,-0.1033129096031189,-0.06547082215547562,0.225941002368927,-0.019053639844059944,-0.001161679858341813,0.01844814233481884,-0.19944772124290466
11,-0.06622059643268585,0.0007551126182079315,0.09337085485458374,29,release_sliding,0.0,random,random,0,0,-0.902198076248169,0.00013116549234837294,-0.3395158052444458,-0.2083587646484375,-0.3992129862308502,-0.06872337311506271,-0.4196875989437103,0.06774463504552841,-0.32475546002388,0.21114367246627808,-0.08101414144039154,-0.09683044254779816,-0.17228712141513824,0.010096011683344841,-0.09333367645740509,0.11630724370479584,0.06913631409406662,-0.19703374803066254,-0.03914190083742142,0.004297246225178242,0.06507283449172974,-0.020396417006850243,0.9021977782249451,2.6363835559095605e-09,0.3166295289993286,0.1988331824541092,0.4172690212726593,0.06286026537418365,0.39598745107650757,-0.0622299462556839,0.34008798003196716,-0.19870388507843018,0.09965744614601135,0.08342500776052475,0.18072617053985596,-0.0007771101081743836,0.09891068935394287,-0.1028042808175087,-0.07836507260799408,0.22689485549926758,-0.029202967882156372,-0.0014098645187914371,0.021936722099781036,-0.19665980339050293
12,-0.07465118914842606,0.0008607316995039582,0.25489258766174316,15,release_sprint,0.0,random,random,0,0,-0.8890672326087952,0.00019378318393137306,-0.3264625072479248,-0.20982511341571808,-0.38583457469940186,-0.06930701434612274,-0.4067620038986206,0.06831483542919159,-0.3114928603172302,0.2127934843301773,-0.0673685148358345,-0.0956861600279808,-0.15978822112083435,0.013071500696241856,-0.08085363358259201,0.11939362436532974,0.08227111399173737,-0.19580960273742676,-0.04968412220478058,0.004164927173405886,0.0746731087565422,-0.020459473133087158,0.8887288570404053,2.8388926764932876e-09,0.3032642602920532,0.19871939718723297,0.40429288148880005,0.06270064413547516,0.38247445225715637,-0.062077879905700684,0.32750222086906433,-0.1986081451177597,0.08830373734235764,0.08053762465715408,0.16767895221710205,-0.0009318920783698559,0.08927671611309052,-0.10260114073753357,-0.0917285829782486,0.22776110470294952,-0.03990091755986214,-0.0016213138587772846,0.023471103981137276,-0.19543474912643433
13,-0.08301977068185806,0.0009657061309553683,0.3007139563560486,2,top_left,0.0,random,random,0,0,-0.8785163760185242,0.00025282741989940405,-0.313123881816864,-0.2113512009382248,-0.3722286522388458,-0.06978510320186615,-0.3934917151927948,0.06890249252319336,-0.298033207654953,0.2144944965839386,-0.053453776985406876,-0.09477967023849487,-0.14786183834075928,0.01669362373650074,-0.06824429333209991,0.1227555200457573,0.09586513042449951,-0.19504834711551666,-0.06121538206934929,0.003969223704189062,0.08533503860235214,-0.02043234370648861,0.8750662803649902,3.566654305231509e-09,0.2896319627761841,0.1986275017261505,0.39099180698394775,0.06257011741399765,0.3687550723552704,-0.06193307042121887,0.3144831657409668,-0.19852586090564728,0.0768197774887085,0.07750512659549713,0.15431559085845947,-0.0011051722103729844,0.08008642494678497,-0.10265640914440155,-0.10545192658901215,0.22847497463226318,-0.05145725980401039,-0.0018319138325750828,0.021847911179065704,-0.1953682154417038
14,-0.09133119881153107,0.0010700506391003728,0.2481754571199417,9,long_pass,0.0,random,random,0,0,-0.8686777353286743,0.00031812250381335616,-0.2995738089084625,-0.2129276841878891,-0.35844865441322327,-0.07009517401456833,-0.3799576163291931,0.06945792585611343,-0.2844316363334656,0.2162485420703888,-0.03933339565992355,-0.09417342394590378,-0.13948418200016022,0.021509366109967232,-0.05554569140076637,0.12632372975349426,0.10979016870260239,-0.19504481554031372,-0.07362058758735657,0.0037311178166419268,0.09689831733703613,-0.020287873223423958,0.8612609505653381,3.484744937054529e-09,0.2758006155490875,0.1985577493906021,0.3774462044239044,0.06246216595172882,0.35488200187683105,-0.0617964081466198,0.30139338970184326,-0.1974966824054718,0.0652163177728653,0.07442408800125122,0.14071287214756012,-0.001206523971632123,0.0702972412109375,-0.10264596343040466,-0.11944065988063812,0.22905080020427704,-0.06380149722099304,-0.002028699964284897,0.01769222691655159,-0.19589930772781372
15,-0.09957478940486908,0.0011736312881112099,0.09795832633972168,4,top_right,0.0,random,random,0,0,-0.861935555934906,0.0003649859281722456,-0.2858703136444092,-0.21455441415309906,-0.34454086422920227,-0.07011563330888748,-0.3662125766277313,0.06980068236589432,-0.2706871032714844,0.21791058778762817,-0.025077085942029953,-0.09371113777160645,-0.13472218811511993,0.027968771755695343,-0.042811810970306396,0.130084827542305,0.12337914854288101,-0.19609074294567108,-0.08747680485248566,0.003342196112498641,0.10899171233177185,-0.020059606060385704,0.849281907081604,3.469352805041126e-09,0.2618216276168823,0.1985105723142624,0.36371755599975586,0.062373992055654526,0.3408946692943573,-0.06167566776275635,0.2894810438156128,-0.1942986398935318,0.053566452115774155,0.0713157206773758,0.12697802484035492,-0.0011154875392094254,0.05956269055604935,-0.1022840365767479,-0.13362732529640198,0.22945420444011688,-0.07664074003696442,-0.0020893393084406853,0.011920363642275333,-0.19685037434101105
16,-0.10715328902006149,0.0012714845361188054,0.18536792695522308,29,release_sliding,0.0,random,random,0,0,-0.8606117367744446,0.00037318584509193897,-0.2720523476600647,-0.2162146419286728,-0.3305601477622986,-0.06966772675514221,-0.3523137867450714,0.06990425288677216,-0.25674524903297424,0.21911686658859253,-0.01073385402560234,-0.093215212225914,-0.1302098035812378,0.03505759313702583,-0.030046990141272545,0.13397714495658875,0.13504637777805328,-0.1991732120513916,-0.0998404249548912,0.003251204965636134,0.11885076016187668,-0.019730137661099434,0.8403242230415344,3.270504755903403e-09,0.24773357808589935,0.19848641753196716,0.34985241293907166,0.0623055100440979,0.3268226385116577,-0.06157607585191727,0.2776627540588379,-0.19052289426326752,0.04151380807161331,0.06807839125394821,0.11524233967065811,-0.0008959842962212861,0.048064038157463074,-0.10153954476118088,-0.14795736968517303,0.2296864092350006,-0.08923444896936417,-0.0019583855755627155,0.004554219078272581,-0.19811004400253296
17,-0.11467958986759186,0.0013687004102393985,0.16161073744297028,0,idle,0.0,random,random,0,0,-0.86187744140625,0.0003964366624131799,-0.2581356167793274,-0.21784862875938416,-0.31657540798187256,-0.06870641559362411,-0.33831721544265747,0.06957225501537323,-0.24284201860427856,0.21986724436283112,0.0032310616225004196,-0.09266920387744904,-0.1254388689994812,0.04250897467136383,-0.017267391085624695,0.13797499239444733,0.14657028019428253,-0.203116774559021,-0.10939814895391464,0.0035347314551472664,0.12974844872951508,-0.019347285851836205,0.8324830532073975,9.643861886843297e-08,0.23356524109840393,0.1984882801771164,0.3358858525753021,0.06225798651576042,0.3128863573074341,-0.061105821281671524,0.26607078313827515,-0.18608057498931885,0.02909974195063114,0.06471087038516998,0.107662133872509,-0.0008762087672948837,0.03591732680797577,-0.10048773884773254,-0.16238969564437866,0.2297227382659912,-0.09994319826364517,-0.002557583851739764,-0.004147005267441273,-0.19958651065826416
18,-0.12206936627626419,0.001464317785575986,0.1355481594800949,23,switch,0.0,random,random,0,0,-0.8659790754318237,0.0004466271784622222,-0.24414148926734924,-0.21944566071033478,-0.3027123808860779,-0.06699486821889877,-0.3242895305156708,0.06874474138021469,-0.231780543923378,0.2204148769378662,0.010500657372176647,-0.09153272956609726,-0.12004317343235016,0.05011408403515816,-0.004571858327835798,0.14217160642147064,0.15836121141910553,-0.2073315978050232,-0.11767654120922089,0.0038834710139781237,0.14259448647499084,-0.018958136439323425,0.8296497464179993,1.143585564022942e-06,0.21933786571025848,0.19851814210414886,0.32184427976608276,0.062231674790382385,0.30103302001953125,-0.05880012363195419,0.25504547357559204,-0.18103191256523132,0.01641264371573925,0.061251405626535416,0.10120360553264618,-0.001215294818393886,0.02440420165657997,-0.09904994815587997,-0.17680774629116058,0.22956793010234833,-0.11083667725324631,-0.003490233328193426,-0.013752852566540241,-0.20118652284145355
19,-0.1292850822210312,0.0015578630845993757,0.12996706366539001,9,long_pass,0.0,random,random,0,0,-0.8704190254211426,0.000469994789455086,-0.23008370399475098,-0.22098909318447113,-0.2891142964363098,-0.06452327966690063,-0.31030115485191345,0.0673871710896492,-0.226027250289917,0.22073549032211304,0.013913958333432674,-0.08903054147958755,-0.11317848414182663,0.05747189372777939,0.007874091155827045,0.14673322439193726,0.17022477090358734,-0.2118987888097763,-0.12495633959770203,0.0036719883792102337,0.1559286266565323,-0.018595030531287193,0.829474151134491,1.3361001265366212e-06,0.20506732165813446,0.19857579469680786,0.30774733424186707,0.06222723796963692,0.2909652590751648,-0.05438142269849777,0.2465355098247528,-0.17698638141155243,0.0035205658059567213,0.057728130370378494,0.09367802739143372,-0.001536484225653112,0.013934331014752388,-0.09771692752838135,-0.1888032704591751,0.2293727993965149,-0.12133435904979706,-0.004585402086377144,-0.024380438029766083,-0.20290710031986237
